ID,1_Local,1_Costeira,1_Largo,1_NS/NR,2_metros,3_Cerco,3_Covos / Alcatruzes,3_Toneiras,3_Redes de emalhar / Tresmalho,3_Arrasto,3_Palangre,3_NS/NR,3_Outras. Quais?,6.2_Sim,6.2_Não,6.2_NS/NR,6.2.1_Notícias na comunicação social,6.2.1_Redes sociais,6.2.1_Pessoas conhecidas,6.2.1_Fontes oficiais/governamentais,6.2.1_Outra fonte. Qual?,6.3_Sim,6.3_Não,6.3_NS/NR,6.4_Concordo totalmente,6.4_Concordo,6.4_Nem concordo nem discordo,6.4_Discordo,6.4_Discordo totalmente,6.4_NS/NR,6.5_Sim,6.5_Não,6.5_NS/NR,6.6_Concordo totalmente,6.6_Concordo,6.6_Nem concordo nem discordo,6.6_Discordo,6.6_Discordo totalmente,6.6_NS/NR,6.7_Aumentará muito,6.7_Aumentará,6.7_Manter-se-á,6.7_Diminuirá,6.7_Diminuirá muito,6.7_NS/NR,6.8_Aumentará muito,6.8_Aumentará,6.8_Manter-se-á,6.8_Diminuirá,6.8_Diminuirá muito,6.8_NS/NR,8_Idade,9_Masculino,9_ Feminino,10_Concelho de residência,11_tempo de exerção,12_Função no navio 
14,1,,,,8.95,,1,1,1,,1,,,1,,,,,,1,,1,,,,,,,1,,1,,,1,,,,,,,,,,1,,,,1,,,,40,1,,Sines,15,Mestre
15,1,,,,7,,1,1,1,,1,,mariscador,1,,,1,1,1,,,1,,,,1,,,,,,1,,,,,1,,,,,1,,,,,,1,,,,59,1,,Odemira,44,Mestre
16,,1,,,9,,1,,,,1,,,,1,,,,,,,1,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,1,,,54,1,,Sines,36,Mestre
17,1,,,,8,,1,,1,,1,,,1,,,,,,1,,1,,,,,,,1,,1,,,1,,,,,,,,,,1,,,,,,1,,51,1,,Sines,37,Mestre
18,,1,,,16,1,,,,,,,,1,,,,,,,grupo sindical,1,,,,,,,1,,1,,,1,,,,,,,,,,1,,,,,,1,,54,1,,Sines,22,Mestre
19,1,,,,8.95,,1,,,,1,,,,1,,,,,,,1,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,1,,,42,1,,Sines,10,Mestre
20,,1,,,9.9,,1,,1,,,,,,1,,,,,,,1,,,,,1,,,,1,,,1,,,,,,1,,,,,,,,,,1,,57,1,,Sines,43,Tripulante
21,1,,,,8.95,,1,,1,,,,,,1,,,,,,,1,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,,,1,,48,1,,Sines,33,Mestre
22,1,,,,7.5,,1,,1,,1,,,,1,,,,,,,1,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,,1,,49,1,,Sines,35,Mestre
23,,1,,,10.5,,1,,1,,,,,1,,,1,,1,1,,1,,,,,,1,,,1,,,1,,,,,,1,,,,,,,,1,,,,61,1,,Sines,45,Mestre
24,1,,,,8,,1,,1,,1,,,1,,,,,,1,,1,,,,,,,1,,1,,,,1,,,,,1,,,,,,,,,,1,,49,1,,Sines,12,Mestre
25,,1,,,NS/NR,1,,,,,,,,1,,,1,1,1,1,,1,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,,1,,77,1,,Sines,35,Mestre
26,1,,,,6,,,,1,,1,,,,1,,,,,,,1,,,,,,1,,,1,,,1,,,,,,,1,,,,,,,,,1,,61,1,,Sines,43,Mestre
27,1,,,,6,,1,,1,,1,,,1,,,,,,1,,1,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,,1,,46,1,,Sines,10,Mestre
28,,1,,,19,1,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,1,,,,,,,,,,1,,,,,,1,,68,1,,Sines,50,Tripulante
29,,1,,,13.5,1,,,,,,,,,1,,,,,,,1,,,,,,,1,,1,,,1,,,,,,,,,,1,,,,,,1,,48,1,,Sines,29,Mestre
30,,1,,,26,1,,,,,,,,1,,,,,1,,,1,,,,,,,1,,1,,,,1,,,,,,,,,1,,,,,,1,,50,1,,Sines,10,Mestre
31,1,,,,7.8,,,,,,1,,,1,,,1,,,,,1,,,,,,,1,,1,,,1,,,,,,,,,,1,,,,,,1,,40,1,,Sines,25,Mestre
32,1,,,,7.2,,,,,,1,,,,1,,,,,,,1,,,,,,1,,,1,,,1,,,,,,,,,,1,,,,,,1,,54,1,,Sines,43,Mestre
33,1,,,,6,,1,,1,,1,,,,1,,,,,,,1,,,,,,,1,,1,,,1,,,,,,,,,,1,,,,,,1,,43,1,,Sines,3,Mestre
34,1,,,,5.95,,1,1,1,,1,,mariscador,,1,,,,,,,1,,,,,,,1,,1,,,1,,,,,,,,,1,,,,,,,1,,47,1,,Odemira,20,Mestre
